id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	lo_ci	up_ci	or	or_lci95	or_uci95	OR_CI	effect_direction	exposure_name	exposure_cat
ieu-a-974	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Body mass index	Inverse variance weighted	36	-0.30663494811409336	0.06790155967062857	6.305588677447898e-6	-0.4397220050685253	-0.17354789115966138	0.7359192005699067	0.6442154848321416	0.8406768892066684	0.736 [0.644:0.841]	negative	Body mass index (F) Locke AE/2015 [171K]	Antrophometric
ieu-a-974	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Body mass index	MR Egger	36	-0.7255543107961432	0.16871075846270675	1.3573506821155148e-4	-1.0562273973830485	-0.39488122420923794	0.48405617701110143	0.3477653190015524	0.6737600608804722	0.484 [0.348:0.674]	negative	Body mass index (F) Locke AE/2015 [171K]	Antrophometric
ieu-a-974	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Body mass index	Weighted median	36	-0.31219469972212627	0.0607451236855161	2.755878835195412e-7	-0.4312551421457378	-0.19313425729851472	0.7318390255012359	0.6496931255281287	0.8243712888469066	0.732 [0.65:0.824]	negative	Body mass index (F) Locke AE/2015 [171K]	Antrophometric
ieu-a-95	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Body mass index	Inverse variance weighted	11	-0.40228425272130774	0.13138160033215343	0.0021989815941250773	-0.6597921893723284	-0.14477631607028701	0.6687906131170127	0.5169587528528848	0.8652158063386464	0.669 [0.517:0.865]	negative	Body mass index (F) Randall JC/2013 [ 73K]	Antrophometric
ieu-a-95	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Body mass index	MR Egger	11	-1.0330702559800493	0.5110501272154658	0.07394679793439754	-2.034728505322362	-0.031412006637736356	0.35591253875081813	0.13071596637611932	0.9690762249774781	0.356 [0.131:0.969]	negative	Body mass index (F) Randall JC/2013 [ 73K]	Antrophometric
ieu-a-95	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Body mass index	Weighted median	11	-0.4116774839901633	0.08097322572539473	3.6933709123711817e-7	-0.5703850064119369	-0.25296996156838963	0.6625379206849079	0.565307749688046	0.7764912060514135	0.663 [0.565:0.776]	negative	Body mass index (F) Randall JC/2013 [ 73K]	Antrophometric
ukb-b-19953	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Body mass index (BMI)	Inverse variance weighted	415	-0.11792686410853603	0.03326887981304222	3.931199798274453e-4	-0.1831338685420988	-0.05271985967497329	0.8887610505694785	0.8326566817397734	0.9486457291844878	0.889 [0.833:0.949]	negative	Body mass index (BMI) (M/F) MRC-IEU/2018 [461K]	Antrophometric
ukb-b-19953	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Body mass index (BMI)	MR Egger	415	-0.38906514503097767	0.08872170271293388	1.4721211723027848e-5	-0.562959682348328	-0.21517060771362725	0.677690120432035	0.5695209658145856	0.8064038497236027	0.678 [0.57:0.806]	negative	Body mass index (BMI) (M/F) MRC-IEU/2018 [461K]	Antrophometric
ukb-b-19953	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Body mass index (BMI)	Weighted median	415	-0.11188546499324148	0.03509359749017309	0.0014316066761517802	-0.18066891607398072	-0.043102013912502235	0.8941466627298124	0.8347116725693728	0.9578136747625445	0.894 [0.835:0.958]	negative	Body mass index (BMI) (M/F) MRC-IEU/2018 [461K]	Antrophometric
ukb-a-248	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Body mass index (BMI)	Inverse variance weighted	289	-0.13228868817338674	0.03368917431650286	8.610433576641742e-5	-0.19831946983373233	-0.06625790651304113	0.8760880423122328	0.8201078115766657	0.9358894611757153	0.876 [0.82:0.936]	negative	Body mass index (BMI) (M/F) Neale Lab/2017 [336K]	Antrophometric
ukb-a-248	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Body mass index (BMI)	MR Egger	289	-0.4307452024095927	0.096128696649473655	1.0746884994417661e-5	-0.619157447842561	-0.24233295697662433	0.6500245143561204	0.5383978748365911	0.784794831131443	0.65 [0.538:0.785]	negative	Body mass index (BMI) (M/F) Neale Lab/2017 [336K]	Antrophometric
ukb-a-248	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Body mass index (BMI)	Weighted median	289	-0.11699608607402309	0.03647028782997105	0.0013366911007027795	-0.18847785022076635	-0.04551432192727985	0.8895886749408213	0.8282188481001188	0.9555059177876885	0.89 [0.828:0.956]	negative	Body mass index (BMI) (M/F) Neale Lab/2017 [336K]	Antrophometric
ukb-a-34	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Comparative body size at age 10	Inverse variance weighted	144	-0.4460667371007739	0.06546450334203906	9.500633756662019e-12	-0.5743771636511704	-0.31775631055037734	0.6401410494783438	0.5630554510192513	0.7277801191435844	0.64 [0.563:0.728]	negative	body size at age 10 (M/F) Neale Lab/2017 [331K]	Antrophometric
ukb-a-34	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Comparative body size at age 10	MR Egger	144	-0.9829406601922877	0.13578613442937756	2.6102603304658952e-11	-1.2490814836738677	-0.7167998367107076	0.37420905760185663	0.28676807708870533	0.4883124377472243	0.374 [0.287:0.488]	negative	body size at age 10 (M/F) Neale Lab/2017 [331K]	Antrophometric
ukb-a-34	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Comparative body size at age 10	Weighted median	144	-0.5327432373719204	0.07387053212650656	5.519653869154729e-13	-0.6775294803398733	-0.3879569944039676	0.5869924992340279	0.5078701469395068	0.6784415194186464	0.587 [0.508:0.678]	negative	body size at age 10 (M/F) Neale Lab/2017 [331K]	Antrophometric
ukb-b-4650	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Comparative body size at age 10	Inverse variance weighted	204	-0.5050803700353863	0.0682362894524943	1.3421729690215806e-13	-0.6388234973622751	-0.3713372427084975	0.60345707361166	0.5279131500420766	0.6898112685068057	0.603 [0.528:0.69]	negative	body size at age 10 (M/F) MRC-IEU/2018 [454K]	Antrophometric
ukb-b-4650	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Comparative body size at age 10	MR Egger	204	-0.8048778744515632	0.14304151490130002	6.070372131121443e-8	-1.0852392436581113	-0.5245165052450151	0.4471425307518026	0.33782095470493356	0.5918414474370285	0.447 [0.338:0.592]	negative	body size at age 10 (M/F) MRC-IEU/2018 [454K]	Antrophometric
ukb-b-4650	ieu-a-1126	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Comparative body size at age 10	Weighted median	204	-0.564627541490154	0.06787050105004833	8.856705144838743e-17	-0.6976537235482487	-0.43160135943205935	0.5685718767587303	0.4977517981199376	0.6494682294709644	0.569 [0.498:0.649]	negative	body size at age 10 (M/F) MRC-IEU/2018 [454K]	Antrophometric
