id.exposure	id.outcome	exposure	outcome	method	nsnp	egger_intercept	egger_intercept_se	egger_intercept_pval	Q	Q_df	Q_pval	exposure_name	exposure_cat
ieu-a-974	ieu-a-1126	Body mass index	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	36	0.016404706446996608	0.0061346760672075585	0.011432685089128168	150.2678824254173	35	3.119477071807039e-16	Body mass index (F) Locke AE/2015 [171K]	Antrophometric
ieu-a-974	ieu-a-1126	Body mass index	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	36	0.016404706446996608	0.0061346760672075585	0.011432685089128168	124.15578790022977	34	3.409117133658707e-12	Body mass index (F) Locke AE/2015 [171K]	Antrophometric
ieu-a-95	ieu-a-1126	Body mass index	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	11	0.033413078225803534	0.026215109232065093	0.23438286686330365	95.39110613954361	10	4.538984233154986e-16	Body mass index (F) Randall JC/2013 [ 73K]	Antrophometric
ieu-a-95	ieu-a-1126	Body mass index	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	11	0.033413078225803534	0.026215109232065093	0.23438286686330365	80.80539866041957	9	1.1179457873452908e-13	Body mass index (F) Randall JC/2013 [ 73K]	Antrophometric
ukb-b-19953	ieu-a-1126	Body mass index (BMI)	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	415	0.005292460768236643	0.001608473736130327	0.0010864560337807193	1168.1224364102245	414	4.7419010441988147e-73	Body mass index (BMI) (M/F) MRC-IEU/2018 [461K]	Antrophometric
ukb-b-19953	ieu-a-1126	Body mass index (BMI)	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	415	0.005292460768236643	0.001608473736130327	0.0010864560337807193	1138.283205621304	413	4.2229184901725474e-69	Body mass index (BMI) (M/F) MRC-IEU/2018 [461K]	Antrophometric
ukb-a-248	ieu-a-1126	Body mass index (BMI)	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	289	0.0065749882766165295	0.001988029297975015	0.0010619885043836811	775.8900860613039	288	2.110937513428912e-46	Body mass index (BMI) (M/F) Neale Lab/2017 [336K]	Antrophometric
ukb-a-248	ieu-a-1126	Body mass index (BMI)	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	289	0.0065749882766165295	0.001988029297975015	0.0010619885043836811	747.4049386479379	287	9.716665805990016e-43	Body mass index (BMI) (M/F) Neale Lab/2017 [336K]	Antrophometric
ukb-a-34	ieu-a-1126	Comparative body size at age 10	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	144	0.009722161375809172	0.0021916460605441055	1.82397678431607e-5	415.14867433783127	143	2.4417978520896154e-28	body size at age 10 (M/F) Neale Lab/2017 [331K]	Antrophometric
ukb-a-34	ieu-a-1126	Comparative body size at age 10	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	144	0.009722161375809172	0.0021916460605441055	1.82397678431607e-5	364.62009699548526	142	1.6223466499089555e-21	body size at age 10 (M/F) Neale Lab/2017 [331K]	Antrophometric
ukb-b-4650	ieu-a-1126	Comparative body size at age 10	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	204	0.004812529488839059	0.0020247249959719125	0.018393718987323483	691.7319904928067	203	1.3467831308270294e-54	body size at age 10 (M/F) MRC-IEU/2018 [454K]	Antrophometric
ukb-b-4650	ieu-a-1126	Comparative body size at age 10	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	204	0.004812529488839059	0.0020247249959719125	0.018393718987323483	672.911906309978	202	5.678913128028697e-52	body size at age 10 (M/F) MRC-IEU/2018 [454K]	Antrophometric
ukb-a-35	ieu-a-1126	Comparative height size at age 10	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	342	-0.002214541116982584	0.002000134985268629	0.2689919653142802	1329.4668144688774	341	1.3520800955357083e-116	height size at age 10 (M/F) Neale Lab/2017 [332K]	Antrophometric
ukb-a-35	ieu-a-1126	Comparative height size at age 10	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	342	-0.002214541116982584	0.002000134985268629	0.2689919653142802	1324.6905934115932	340	4.0519705497619493e-116	height size at age 10 (M/F) Neale Lab/2017 [332K]	Antrophometric
ieu-a-85	ieu-a-1126	Extreme body mass index	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	7	0.01312334665433615	0.028992718261941955	0.6697691724237826	25.17659562589041	6	3.166777757799637e-4	Extreme body mass index (M/F) Berndt SI/2013 [ 16K]	Antrophometric
ieu-a-85	ieu-a-1126	Extreme body mass index	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	MR Egger	7	0.01312334665433615	0.028992718261941955	0.6697691724237826	24.185542007615396	5	1.9999308405815666e-4	Extreme body mass index (M/F) Berndt SI/2013 [ 16K]	Antrophometric
ieu-a-1034	ieu-a-1126	Height	Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	Inverse variance weighted	4	0.2931863772569295	0.2747835631176409	0.3977221933387066	37.481444624202226	3	3.6392438798597254e-8	Height (M/F) Cousminer/2013 [ 13K]	Antrophometric
