exposure_cat	label	id.exposure	exposure_name	ieu-a-1126	ieu-a-1127	ieu-a-1128	Breast cancer (overall BCAC 2020)	Basal-like TNBC: ER-PR-HER-	BRCA1_CIMBA TNBC: ER-PR-HER-	HER2-enriched: ER-PR-HER+	Luminal A: ER+PR+HER-	Luminal B2: ER+PR+HER+	Luminal B1: ER+PR+HER-
Metabolites	(met-a-500) 3-dehydrocarnitine* (M/F) Shin/2014 [  7K]	met-a-500	3-dehydrocarnitine* (M/F) Shin/2014 [  7K]	-1	-1	0	-1	0	0	0	0	-1	0
Metabolites	(met-a-464) Serine (M/F) Shin/2014 [  7K]	met-a-464	Serine (M/F) Shin/2014 [  7K]	1	0	0	0	0	0	0	0	0	0
Metabolites	(met-a-444) X-10510 (M/F) Shin/2014 [  7K]	met-a-444	X-10510 (M/F) Shin/2014 [  7K]	1	0	0	1	0	0	0	1	0	0
Metabolites	(met-a-517) X-11445--5-alpha-pregnan-3beta,20alpha-disulfate (M/F) Shin/2014 [  2K]	met-a-517	X-11445--5-alpha-pregnan-3beta,20alpha-disulfate (M/F) Shin/2014 [  2K]	-1	-1	0	0	0	0	0	0	0	0
Proteins	(prot-a-67) Alcohol dehydrogenase [NADP(+)] (M/F) Sun BB/2018 [  3K]	prot-a-67	Alcohol dehydrogenase [NADP(+)] (M/F) Sun BB/2018 [  3K]	-1	-1	0	-1	0	0	0	-1	0	0
Proteins	(prot-a-1411) Alpha-L-iduronidase (M/F) Sun BB/2018 [  3K]	prot-a-1411	Alpha-L-iduronidase (M/F) Sun BB/2018 [  3K]	1	0	0	1	0	0	0	1	0	0
Proteins	(prot-a-390) C-C motif chemokine 14 (M/F) Sun BB/2018 [  3K]	prot-a-390	C-C motif chemokine 14 (M/F) Sun BB/2018 [  3K]	-1	0	0	-1	0	0	0	0	0	0
Proteins	(prot-a-735) CUB and zona pellucida-like domain-containing protein 1 (M/F) Sun BB/2018 [  3K]	prot-a-735	CUB and zona pellucida-like domain-containing protein 1 (M/F) Sun BB/2018 [  3K]	1	1	0	0	0	0	0	0	0	0
Proteins	(prot-a-488) Cadherin-related family member 3 (M/F) Sun BB/2018 [  3K]	prot-a-488	Cadherin-related family member 3 (M/F) Sun BB/2018 [  3K]	-1	-1	0	-1	0	0	-1	-1	0	0
Proteins	(prot-a-346) Calcium/calmodulin-dependent protein kinase type 1 (M/F) Sun BB/2018 [  3K]	prot-a-346	Calcium/calmodulin-dependent protein kinase type 1 (M/F) Sun BB/2018 [  3K]	-1	-1	0	-1	0	0	0	-1	0	0
Proteins	(prot-a-366) Calpastatin (M/F) Sun BB/2018 [  3K]	prot-a-366	Calpastatin (M/F) Sun BB/2018 [  3K]	1	1	0	1	0	0	0	1	0	0
Proteins	(prot-a-550) Carbohydrate sulfotransferase 11 (M/F) Sun BB/2018 [  3K]	prot-a-550	Carbohydrate sulfotransferase 11 (M/F) Sun BB/2018 [  3K]	1	1	0	0	0	0	0	0	0	0
Proteins	(prot-a-710) Cardiotrophin-1 (M/F) Sun BB/2018 [  3K]	prot-a-710	Cardiotrophin-1 (M/F) Sun BB/2018 [  3K]	-1	-1	0	-1	0	0	0	0	0	0
Proteins	(prot-a-303) Complement C1q tumor necrosis factor-related protein 1 (M/F) Sun BB/2018 [  3K]	prot-a-303	Complement C1q tumor necrosis factor-related protein 1 (M/F) Sun BB/2018 [  3K]	1	0	0	0	0	0	0	0	0	0
