exposure.id	exposure.trait	exposure.sample_size	exposure.sex	exposure.note	year	author	consortium	outcome.id	outcome.sample_size	N_case	outcome.year	outcome.nsnp	mr.pval	mr.b	mr.se	mr.method	mr.moescore
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1165	37954.0	2900	2015.0	12940150	0.5	0.124118917751256	0.124118917751256	Wald ratio	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.0127617906520228	-4.2944142744037	1.72442304750332	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.7809078868871041	0.885428511291973	3.18343616626085	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ukb-a-55	337159.0	7480	2017.0	10894596	0.5696885383249239	-0.0300931177905119	0.0529332884618507	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.192254116794254	-2.23037142574232	1.7104865316180602	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1168	33832.0	15748	2015.0	13011123	0.820030685536006	-0.692851928573499	3.0454292288396605	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1164	23059.0	1333	2015.0	8714606	0.5	-17.2868175190366	-17.2868175190366	Wald ratio	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1134	21814.0	4226	2017.0	10680257	0.849587039088071	0.665434599465066	3.50883667948599	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1163	6881.0	920	2015.0	8828662	0.5	6.673867257115081	6.673867257115081	Wald ratio	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1167	22286.0	4202	2015.0	13011123	0.5	-0.462777447750716	-0.462777447750716	Wald ratio	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1132	83691.0	38197	2017.0	10680257	1.83071132414582e-10	-7.26687439926905	1.13991806515349	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1135	55149.0	9655	2017.0	10680257	0.880338775608448	-0.637704355369745	4.236118811939121	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ukb-d-C3_BREAST_3	361194.0	9721	2018.0	13217865	2.9666710546393102e-8	-0.155092910429413	0.0279779782643801	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ukb-b-16890	462933.0	10303	2018.0	9851867	5.22581156477189e-4	-0.0166645461628226	0.00480397665145082	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1166	21695.0	3611	2015.0	13011123	0.0125369858934862	2.92343387891546	1.1709389356416102	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1133	69970.0	27078	2017.0	10680257	0.7657379489056291	-0.9167751633230279	3.0768973018412598	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1131	32498.0	14910	2017.0	10680257	0.683120210945828	2.28681279564815	5.6020630716395	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1136	50225.0	7333	2017.0	10680257	0.701378894392393	1.95876839980683	5.10814577742132	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1129	106776.0	61282	2017.0	10680257	0.0988302198195468	-3.9540583548697	2.3955985100833797	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1130	89677.0	46785	2017.0	10680257	0.521705162928751	-1.2391384449493899	1.93398062795175	FE IVW	1
ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	361194.0	Males and Females	NA	2018	Neale lab	NA	ieu-a-1137	22068.0	4480	2017.0	10680257	0.6293182303342341	5.215105397419059	10.8043286353809	FE IVW	1
