# Input	GeneSymbol	GeneID	PathwayName	PathwayID
ager	AGER	177	Activated TLR4 signalling	REACT:R-HSA-166054
ager	AGER	177	Advanced glycosylation endproduct receptor signaling	REACT:R-HSA-879415
ager	AGER	177	AGE-RAGE signaling pathway in diabetic complications	KEGG:hsa04933
ager	AGER	177	Cytosolic sensors of pathogen-associated DNA	REACT:R-HSA-1834949
ager	AGER	177	DEx/H-box helicases activate type I IFN and inflammatory cytokines production	REACT:R-HSA-3134963
ager	AGER	177	Immune System	REACT:R-HSA-168256
ager	AGER	177	Innate Immune System	REACT:R-HSA-168249
ager	AGER	177	MyD88 cascade initiated on plasma membrane	REACT:R-HSA-975871
ager	AGER	177	MyD88 dependent cascade initiated on endosome	REACT:R-HSA-975155
ager	AGER	177	MyD88-independent TLR3/TLR4 cascade	REACT:R-HSA-166166
ager	AGER	177	MyD88:Mal cascade initiated on plasma membrane	REACT:R-HSA-166058
ager	AGER	177	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways	REACT:R-HSA-168928
ager	AGER	177	RIP-mediated NFkB activation via ZBP1	REACT:R-HSA-1810476
ager	AGER	177	TAK1 activates NFkB by phosphorylation and activation of IKKs complex	REACT:R-HSA-445989
ager	AGER	177	Toll Like Receptor 10 (TLR10) Cascade	REACT:R-HSA-168142
ager	AGER	177	Toll Like Receptor 2 (TLR2) Cascade	REACT:R-HSA-181438
ager	AGER	177	Toll Like Receptor 3 (TLR3) Cascade	REACT:R-HSA-168164
ager	AGER	177	Toll Like Receptor 4 (TLR4) Cascade	REACT:R-HSA-166016
ager	AGER	177	Toll Like Receptor 5 (TLR5) Cascade	REACT:R-HSA-168176
ager	AGER	177	Toll Like Receptor 7/8 (TLR7/8) Cascade	REACT:R-HSA-168181
ager	AGER	177	Toll Like Receptor 9 (TLR9) Cascade	REACT:R-HSA-168138
ager	AGER	177	Toll-Like Receptors Cascades	REACT:R-HSA-168898
ager	AGER	177	Toll Like Receptor TLR1:TLR2 Cascade	REACT:R-HSA-168179
ager	AGER	177	Toll Like Receptor TLR6:TLR2 Cascade	REACT:R-HSA-168188
ager	AGER	177	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	REACT:R-HSA-975138
ager	AGER	177	TRAF6 mediated NF-kB activation	REACT:R-HSA-933542
ager	AGER	177	TRIF-mediated TLR3/TLR4 signaling	REACT:R-HSA-937061
ager	AGER	177	ZBP1(DAI) mediated induction of type I IFNs	REACT:R-HSA-1606322
adh6	ADH6	130	Biological oxidations	REACT:R-HSA-211859
adh6	ADH6	130	Chemical carcinogenesis	KEGG:hsa05204
adh6	ADH6	130	Drug metabolism - cytochrome P450	KEGG:hsa00982
adh6	ADH6	130	Ethanol oxidation	REACT:R-HSA-71384
adh6	ADH6	130	Fatty acid degradation	KEGG:hsa00071
adh6	ADH6	130	Glycolysis / Gluconeogenesis	KEGG:hsa00010
adh6	ADH6	130	Metabolic pathways	KEGG:hsa01100
adh6	ADH6	130	Metabolism	REACT:R-HSA-1430728
