predicate,predicate_count,direction
INHIBITS,5057,negative
NEG_INTERACTS_WITH,177,negative
PREVENTS,116,negative
NEG_COEXISTS_WITH,57,negative
NEG_STIMULATES,49,negative
NEG_INHIBITS,29,negative
AUGMENTS,27,negative
NEG_ISA,15,negative
DISRUPTS,8,negative
NEG_TREATS,8,negative
NEG_PRODUCES,7,negative
NEG_ASSOCIATED_WITH,4,negative
NEG_PREDISPOSES,4,negative
NEG_PREVENTS,3,negative
NEG_AFFECTS,2,negative
COMPLICATES,1,negative
NEG_AUGMENTS,1,negative
NEG_CAUSES,1,negative
NEG_DISRUPTS,1,negative
NEG_PART_OF,1,negative
NEG_same_as,1,negative
INTERACTS_WITH,8228,neutral
COEXISTS_WITH,2756,neutral
ASSOCIATED_WITH,333,neutral
higher_than,155,neutral
lower_than,16,neutral
same_as,16,neutral
STIMULATES,6013,positive
TREATS,338,positive
CAUSES,285,positive
PRODUCES,248,positive
PREDISPOSES,100,positive
CONVERTS_TO,92,positive
AFFECTS,74,positive
PRECEDES,1,positive
