"","x"
"1","ukb-d-M13_POLYARTHROPATHIES"
"2","met-a-558"
"3","met-a-682"
"4","met-a-427"
"5","met-a-500"
"6","ukb-b-14067"
"7","ukb-b-16677"
"8","ukb-b-1004"
"9","ukb-b-18436"
"10","ukb-b-4643"
"11","ukb-a-320"
"12","ukb-b-17422"
"13","prot-a-67"
"14","ukb-d-20117_2"
"15","prot-a-1154"
"16","prot-a-1411"
"17","ieu-a-298"
"18","prot-a-99"
"19","ukb-d-30630_irnt"
"20","ukb-d-30630_raw"
"21","prot-a-310"
"22","ukb-b-5716"
"23","ukb-a-30"
"24","ukb-b-1707"
"25","prot-a-216"
"26","prot-a-212"
"27","prot-a-674"
"28","met-a-362"
"29","ieu-a-974"
"30","met-a-656"
"31","prot-a-390"
"32","prot-a-392"
"33","prot-a-399"
"34","prot-a-408"
"35","ieu-a-1015"
"36","prot-a-426"
"37","prot-a-655"
"38","prot-a-735"
"39","prot-a-486"
"40","prot-a-488"
"41","prot-a-346"
"42","prot-a-354"
"43","prot-a-366"
"44","ukb-a-58"
"45","ukb-a-60"
"46","ukb-d-C_PRIMARY_LYMPHOID_HEMATOPOIETIC"
"47","prot-a-550"
"48","prot-a-643"
"49","prot-a-710"
"50","prot-a-532"
"51","ukb-d-1468_5"
"52","prot-a-412"
"53","ukb-b-2221"
"54","ukb-a-295"
"55","ieu-a-1096"
"56","prot-a-714"
"57","prot-a-381"
"58","ukb-a-34"
"59","prot-a-305"
"60","prot-a-322"
"61","prot-a-518"
"62","prot-a-521"
"63","ukb-d-6020_33"
"64","met-c-890"
"65","prot-a-608"
"66","prot-a-609"
"67","prot-a-500"
"68","ukb-b-16858"
"69","prot-a-197"
"70","prot-a-654"
"71","prot-a-706"
"72","ukb-b-4955"
"73","met-a-618"
"74","prot-a-831"
"75","prot-a-867"
"76","ukb-d-D17"
"77","ukb-a-528"
"78","ukb-d-H33"
"79","ukb-d-J45"
"80","ukb-b-3672"
"81","ukb-b-7352"
"82","ukb-b-11064"
"83","prot-a-2629"
"84","prot-a-2464"
"85","prot-a-836"
"86","prot-a-586"
"87","prot-a-2665"
"88","prot-a-2573"
"89","prot-a-982"
"90","ukb-d-IV_ENDOCRIN_NUTRIT"
"91","prot-a-892"
"92","prot-a-2071"
"93","prot-a-1707"
"94","prot-a-1835"
"95","prot-a-977"
"96","prot-a-2892"
"97","ukb-d-20406"
"98","ukb-a-373"
"99","ukb-b-6445"
"100","ukb-d-20500"
"101","prot-a-2891"
"102","ukb-a-426"
"103","ukb-b-10181"
"104","ukb-d-5012"
"105","ukb-b-2535"
"106","ukb-b-3666"
"107","prot-a-1148"
"108","prot-a-1097"
"109","prot-a-1117"
"110","ukb-b-14713"
"111","met-c-876"
"112","met-c-900"
"113","met-c-911"
"114","met-c-944"
"115","ukb-a-243"
"116","prot-a-1305"
"117","prot-a-1202"
"118","prot-a-1166"
"119","prot-a-1414"
"120","prot-a-1250"
"121","prot-a-1046"
"122","prot-a-1347"
"123","ukb-a-316"
"124","prot-a-1369"
"125","ieu-a-1056"
"126","ieu-a-1034"
"127","prot-a-1317"
"128","prot-a-1378"
"129","prot-a-1313"
"130","ieu-a-1228"
"131","ieu-a-101"
"132","ieu-a-99"
"133","ieu-a-55"
"134","prot-a-10"
"135","ukb-d-41231_1"
"136","ukb-a-418"
"137","ukb-b-323"
"138","ukb-b-7910"
"139","ukb-b-9127"
"140","ukb-a-210"
"141","ukb-b-12018"
"142","ukb-b-10454"
"143","ukb-b-16027"
"144","prot-a-1576"
"145","ukb-a-273"
"146","ukb-b-19379"
"147","ukb-b-7859"
"148","ukb-a-269"
"149","prot-a-1403"
"150","prot-a-1586"
"151","prot-a-1397"
"152","prot-a-1506"
"153","prot-a-1530"
"154","prot-a-1541"
"155","ieu-a-1049"
"156","met-a-573"
"157","met-a-652"
"158","ukb-d-22617_9149"
"159","prot-a-1657"
