reactome_id,pathway_name
R-HSA-1222387,Tolerance of reactive oxygen produced by macrophages
R-HSA-1222449,Mtb iron assimilation by chelation
R-HSA-1222499,Latent infection - Other responses of Mtb to phagocytosis
R-HSA-1222538,Tolerance by Mtb to nitric oxide produced by macrophages
R-HSA-1222541,Cell redox homeostasis
R-HSA-1226099,Signaling by FGFR in disease
R-HSA-1227990,Signaling by ERBB2 in Cancer
R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
R-HSA-162585,Uncoating of the HIV Virion
R-HSA-162587,HIV Life Cycle
R-HSA-162588,Budding and maturation of HIV virion
R-HSA-162589,Reverse Transcription of HIV RNA
R-HSA-162592,Integration of provirus
R-HSA-162594,Early Phase of HIV Life Cycle
R-HSA-162599,Late Phase of HIV Life Cycle
R-HSA-162906,HIV Infection
R-HSA-162909,Host Interactions of HIV factors
R-HSA-1643685,Disease
R-HSA-1643713,Signaling by EGFR in Cancer
R-HSA-164516,Minus-strand DNA synthesis
R-HSA-164525,Plus-strand DNA synthesis
R-HSA-164843,2-LTR circle formation
R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters
R-HSA-164939,Nef mediated downregulation of CD28 cell surface expression
R-HSA-164940,Nef mediated downregulation of MHC class I complex cell surface expression
R-HSA-164944,Nef and signal transduction
R-HSA-165054,Rev-mediated nuclear export of HIV RNA
R-HSA-167152,Formation of HIV elongation complex in the absence of HIV Tat
R-HSA-167158,Formation of the HIV-1 Early Elongation Complex
R-HSA-167160,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
R-HSA-167161,HIV Transcription Initiation
R-HSA-167162,RNA Polymerase II HIV Promoter Escape
R-HSA-167169,HIV Transcription Elongation
R-HSA-167172,Transcription of the HIV genome
R-HSA-167200,Formation of HIV-1 elongation complex containing HIV-1 Tat
R-HSA-167238,Pausing and recovery of Tat-mediated HIV elongation
R-HSA-167242,Abortive elongation of HIV-1 transcript in the absence of Tat
R-HSA-167243,Tat-mediated HIV elongation arrest and recovery
R-HSA-167246,Tat-mediated elongation of the HIV-1 transcript
R-HSA-167287,HIV elongation arrest and recovery
R-HSA-167290,Pausing and recovery of HIV elongation
R-HSA-167590,Nef Mediated CD4 Down-regulation
R-HSA-168255,Influenza Infection
R-HSA-168268,Virus Assembly and Release
R-HSA-168270,Fusion and Uncoating of the Influenza Virion
R-HSA-168271,Transport of Ribonucleoproteins into the Host Nucleus
R-HSA-168273,Influenza Viral RNA Transcription and Replication
R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus
R-HSA-168275,Entry of Influenza Virion into Host Cell via Endocytosis
R-HSA-168276,NS1 Mediated Effects on Host Pathways
R-HSA-168277,Influenza Virus Induced Apoptosis
R-HSA-168288,Fusion of the Influenza Virion to the Host Cell Endosome
R-HSA-168298,Release
R-HSA-168302,Budding
R-HSA-168303,Packaging of Eight RNA Segments
R-HSA-168305,Inhibition of Interferon Synthesis
R-HSA-168315,Inhibition of Host mRNA Processing and RNA Silencing
R-HSA-168316,Assembly of Viral Components at the Budding Site
R-HSA-168325,Viral Messenger RNA Synthesis
R-HSA-168330,Viral RNP Complexes in the Host Cell Nucleus
R-HSA-168333,NEP/NS2 Interacts with the Cellular Export Machinery
R-HSA-168336,Uncoating of the Influenza Virion
R-HSA-168799,Neurotoxicity of clostridium toxins
R-HSA-168874,"Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus"
R-HSA-168888,Inhibition of IFN-beta
R-HSA-169131,Inhibition of PKR
R-HSA-171286,Synthesis and processing of ENV and VPU
R-HSA-173107,Binding and entry of HIV virion
R-HSA-174490,Membrane binding and targetting of GAG proteins
R-HSA-174495,"Synthesis And Processing Of GAG, GAGPOL Polyproteins"
R-HSA-175474,Assembly Of The HIV Virion
R-HSA-175567,Integration of viral DNA into host genomic DNA
