id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,OR_CI,effect_direction,egger_intercept,egger_intercept_se,egger_intercept_pval,Q,Q_df,Q_pval,snp_r2.exposure,snp_r2.outcome,correct_causal_direction,steiger_pval,Fst,total_r2
ukb-d-1418_3,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Milk type used: Skimmed,Inverse variance weighted,3,-4.930812451082527,1.977709859785235,0.01265999977067561,-8.807123776261587,-1.054501125903467,0.007220634485340286,1.4966310204252197e-4,0.3483661748242542,0.01 [0:0.35],negative,0.07928771836816408,0.0368233583836708,0.2767936522465879,25.99118104397983,2,2.270318286484054e-6,3.9672357063675755e-4,3.1287955925169867e-4,TRUE,0.40388266186292043,47.731825502847606,3.967235976627993e-4
ukb-d-1418_3,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Milk type used: Skimmed,MR Egger,3,-16.5541512309497,5.5252519291146776,0.20508198482735315,-27.38364501201447,-5.724657449884932,6.465817879265325e-8,1.2806606837079875e-12,0.00326447132950009,0 [0:0],negative,0.07928771836816408,0.0368233583836708,0.2767936522465879,4.611447220947778,1,0.03175921970475376,3.9672357063675755e-4,3.1287955925169867e-4,TRUE,0.40388266186292043,47.731825502847606,3.967235976627993e-4
ukb-d-1418_3,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Milk type used: Skimmed,Weighted median,3,-3.529918975215426,1.259859450068713,0.005081277058386047,-5.999243497350104,-1.0605944530807485,0.02930729038773205,0.002480628068725635,0.346249919808454,0.03 [0:0.35],negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-305,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Complement C1q tumor necrosis factor-related protein 5,Inverse variance weighted,4,-0.08076986263830506,0.02529375749625265,0.0014067008514250876,-0.13034562733096025,-0.031194097945649868,0.9224059470907693,0.8777919895822744,0.96928741811977015,0.92 [0.88:0.97],negative,-0.0425188288181129,0.023938250166886423,0.21768589458033055,7.500415573438508,3,0.0575477750752628,0.07901403528082858,1.0249969219091187e-4,TRUE,6.997439625238906e-57,69.91309358864557,0.07821016840460071
prot-a-305,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Complement C1q tumor necrosis factor-related protein 5,MR Egger,4,0.09070010777759316,0.09844773838797394,0.4541525753142458,-0.10225745946283576,0.2836576750180221,1.09494059184912,0.9027970880918372,1.3279782528019668,1.09 [0.9:1.33],overlaps null,-0.0425188288181129,0.023938250166886423,0.21768589458033055,2.910046039571795,2,0.2333949911365861,0.07901403528082858,1.0249969219091187e-4,TRUE,6.997439625238906e-57,69.91309358864557,0.07821016840460071
prot-a-305,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Complement C1q tumor necrosis factor-related protein 5,Weighted median,4,-0.07677683264760646,0.02221534436450858,5.482001579892239e-4,-0.12031890760204328,-0.033234757693169636,0.9260965050518031,0.8866376361435041,0.9673114491277373,0.93 [0.89:0.97],negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-2891,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Extracellular sulfatase Sulf-2,Inverse variance weighted,3,-0.045566330620373435,0.02127567604623335,0.03221681615382667,-0.0872666556709908,-0.0038660055697560675,0.9554562244659147,0.9164326910745133,0.9961414578088578,0.96 [0.92:1],negative,-0.05114288104375098,0.03502638090069724,0.3822910262964489,2.487665587671415,2,0.28827719075108776,0.058207951363047905,2.6031505698023924e-5,TRUE,5.663748256458356e-43,67.10473261199236,0.05754605974515041
prot-a-2891,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Extracellular sulfatase Sulf-2,MR Egger,3,0.13870485810409589,0.12763603503297394,0.4735580259443083,-0.11146177056053302,0.3888714867687248,1.1487849953825529,0.8945255879614227,1.4753149416593387,1.15 [0.89:1.48],overlaps null,-0.05114288104375098,0.03502638090069724,0.3822910262964489,0.35570168664816515,1,0.55090315418926,0.058207951363047905,2.6031505698023924e-5,TRUE,5.663748256458356e-43,67.10473261199236,0.05754605974515041
prot-a-2891,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Extracellular sulfatase Sulf-2,Weighted median,3,-0.04637365278580671,0.022037770183001428,0.035353975242754125,-0.0895676823444895,-0.0031796232271239164,0.9546851747624392,0.9143263792770605,0.9968254264213983,0.95 [0.91:1],negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-1506,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Interleukin-21,Inverse variance weighted,3,0.04760186165450126,0.01797276403983085,0.008083659351581767,0.012375244136432796,0.08282847917256972,1.0487530233987725,1.0124521343210535,1.0863554599799854,1.05 [1.01:1.09],positive,-0.009026817771791961,0.016541737853396948,0.6819858398031685,1.177292913383173,2,0.5550780987364352,0.06950213178291943,2.751464341008938e-5,TRUE,1.7072722336993908e-51,81.0257592830157,0.06866439876045333
prot-a-1506,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Interleukin-21,MR Egger,3,0.0781673501084226,0.05882445910358008,0.41070124480683223,-0.03712858973459435,0.19346328995143955,1.0813035998040665,0.963552224457579,1.2134448401148479,1.08 [0.96:1.21],overlaps null,-0.009026817771791961,0.016541737853396948,0.6819858398031685,0.8795049891362836,1,0.3483372947239226,0.06950213178291943,2.751464341008938e-5,TRUE,1.7072722336993908e-51,81.0257592830157,0.06866439876045333
prot-a-1506,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Interleukin-21,Weighted median,3,0.050330390567910326,0.020013681775078285,0.011910020195191509,0.011103574288756891,0.08955720684706375,1.05161848381419,1.0111654477632683,1.0936898980735017,1.05 [1.01:1.09],positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-1411,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Alpha-L-iduronidase,Inverse variance weighted,2,0.02268932594310247,0.010701397514683351,0.033987426395093556,0.0017145868143231026,0.043664065071881836,1.0229486865569843,1.0017160575587478,1.0446313677738859,1.02 [1:1.04],positive,NA,NA,NA,0.04196903544592052,1,0.8376788078178168,0.2105578918120894,4.6537966482673574e-5,TRUE,4.02882122839894e-171,266.3030439755093,0.19505050190182263
met-c-922,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Concentration of small HDL particles,Inverse variance weighted,5,-0.07952675497137811,0.027850770752397225,0.004297456924024433,-0.13411426564607667,-0.02493924429667955,0.9235533099956754,0.8744901347139353,0.9753691694680888,0.92 [0.87:0.98],negative,-8.208301184642523e-4,0.009403737577468603,0.935942791593577,2.310919847652964,4,0.6787816348456246,0.02499363907943591,3.1718750934642204e-5,TRUE,1.968578382816599e-93,99.77354580307015,0.025238847889437036
met-c-922,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Concentration of small HDL particles,MR Egger,5,-0.07335815267383851,0.07595978526176472,0.4054084125609314,-0.22223933178689737,0.07552302643922033,0.9292679506172998,0.8007237027656272,1.0784480602508595,0.93 [0.8:1.08],overlaps null,-8.208301184642523e-4,0.009403737577468603,0.935942791593577,2.3033007144767144,3,0.5118888726423585,0.02499363907943591,3.1718750934642204e-5,TRUE,1.968578382816599e-93,99.77354580307015,0.025238847889437036
met-c-922,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Concentration of small HDL particles,Weighted median,5,-0.08830924912920296,0.032201647084272325,0.006099517749372627,-0.1514244774143767,-0.025194020844029205,0.9154777222545338,0.8594827901845029,0.9751206999321498,0.92 [0.86:0.98],negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
met-c-909,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Total cholesterol in medium VLDL,Inverse variance weighted,15,-0.07499743410633265,0.026003753647244016,0.003925336888315574,-0.12596479125493093,-0.024030076957734382,0.9277458668227434,0.8816458878822614,0.9762563464954612,0.93 [0.88:0.98],negative,0.0014632674487147577,0.008255760150259157,0.8620500460777623,26.752788688964877,14,0.020728282229680928,0.05159615812528017,1.5011015928241415e-4,TRUE,2.7560098744288703e-207,79.54302804071806,0.05249638272416103
