id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,OR_CI,effect_direction,egger_intercept,egger_intercept_se,egger_intercept_pval,Q,Q_df,Q_pval,snp_r2.exposure,snp_r2.outcome,correct_causal_direction,steiger_pval,Fst,total_r2
prot-a-70,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),RAC-alpha/beta/gamma serine/threonine-protein kinase,Wald ratio,1,-0.025224775224775224,0.02122877122877123,0.23474072223825299,-0.06683316683316684,0.016383616383616392,0.9750907111600161,0.9353512359293334,1.0165185637947667,0.98 [0.94:1.02],overlaps null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-70,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),RAC-alpha/beta/gamma serine/threonine-protein kinase,NO SENSITIVITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-71,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),RAC-alpha/beta/gamma serine/threonine-protein kinase,Wald ratio,1,-0.028252449305080883,0.019366598313966737,0.14461368473578445,-0.06621098200045569,0.00970608339029392,0.9721429190166441,0.935933378362903,1.0097533401867402,0.97 [0.94:1.01],overlaps null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prot-a-71,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),RAC-alpha/beta/gamma serine/threonine-protein kinase,NO SENSITIVITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
met-d-ApoA1,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Apolipoprotein A1,Inverse variance weighted,66,0.04068285462813832,0.02683581874108155,0.1295216758492968,-0.011915350104381522,0.09328105936065816,1.0415217393618637,0.9881553565694535,1.0977702305124506,1.04 [0.99:1.1],overlaps null,-3.863348242248329e-4,0.0025601888191501246,0.8805285029838673,146.80496785860873,65,2.89733919081184e-8,0.07270161006941549,5.219392132247018e-4,TRUE,0,142.4871698433583,0.07875396556859365
met-d-ApoA1,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Apolipoprotein A1,MR Egger,66,0.04619593475164483,0.0454523792539962,0.3132853833704784,-0.04289072858618772,0.13528259808947737,1.0472795893217313,0.9580160681179853,1.1448602739665295,1.05 [0.96:1.14],overlaps null,-3.863348242248329e-4,0.0025601888191501246,0.8805285029838673,146.7527534929963,64,1.9133348728967495e-8,0.07270161006941549,5.219392132247018e-4,TRUE,0,142.4871698433583,0.07875396556859365
met-d-ApoA1,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Apolipoprotein A1,Weighted median,66,0.058639015015237245,0.028012911967284452,0.03632369987474823,0.003733707559359721,0.11354432247111476,1.0603923859126232,1.0037406865285359,1.1202415396653334,1.06 [1:1.12],positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ieu-a-1,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Adiponectin,Inverse variance weighted,11,-0.054050182812045426,0.041146397107631356,0.18897859374742673,-0.1346971211430029,0.02659675551891203,0.947384562887418,0.8739805818441806,1.026953605883893,0.95 [0.87:1.03],overlaps null,-0.007897106136869175,0.0039429611520485535,0.07620350867592596,15.318080432424715,10,0.1208883624571377,0.07718011210014392,5.516875604595938e-5,TRUE,0,105.43260097901171,0.02826559025561699
ieu-a-1,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Adiponectin,MR Egger,11,0.02345632912613589,0.05290326474016745,0.6679566040109169,-0.0802340697645923,0.12714672801686408,1.0237335924298252,0.9229002980469242,1.1355836274916764,1.02 [0.92:1.14],overlaps null,-0.007897106136869175,0.0039429611520485535,0.07620350867592596,10.595571180395812,9,0.3044516394632155,0.07718011210014392,5.516875604595938e-5,TRUE,0,105.43260097901171,0.02826559025561699
ieu-a-1,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Adiponectin,Weighted median,11,-0.02616145214463103,0.043068970059604667,0.5435645419989097,-0.11057663346145617,0.05825372917219411,0.9741777938171559,0.8953177162647579,1.0599839104332232,0.97 [0.9:1.06],overlaps null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
met-c-841,ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis),Albumin,Inverse variance weighted,3,0.10467347764651196,0.062163252679300264,0.09221102017370651,-0.017166497604916564,0.22651345289794048,1.1103479977169555,0.9829800071924583,1.254219482607104,1.11 [0.98:1.25],overlaps null,0.053976298750608345,0.04345498091748639,0.4315186687884122,2.1468974985607625,2,0.3418276045477698,0.012291569836283354,1.8362545804008765e-5,TRUE,1.5517967432808948e-45,80.2916172020224,0.01254760753862574
