"term1","term2","n","group","n_pair_b","keep"
"19-norprogesterone","Androgen Receptor",2,"trait",0,TRUE
"ABCB1","TP53",2,"BC",0,TRUE
"ABCC1","ERBB2",1,"BC",0,TRUE
"ABCG2","estrogens",3,"BC",0,TRUE
"Acids","Albumin",3,"BC",0,TRUE
"Activins","estrogens",2,"BC",0,TRUE
"Adiponectin","Cyclin D1",1,"BC",0,TRUE
"Adiponectin","estradiol",3,"trait",0,TRUE
"Adiponectin","Ferritin",1,"trait",0,TRUE
"Adiponectin","resistin",2,"trait",0,TRUE
"Adiponectin","SHBG",2,"trait",0,TRUE
"Adiponectin","STK11",2,"BC",0,TRUE
"ADRBK1","Cyclin D1",1,"BC",0,TRUE
"AKT1","ERBB2",22,"BC",0,TRUE
"AKT1","Estrogen Receptor alpha",14,"BC",0,TRUE
"AKT1","Estrogen Receptors",10,"BC",0,TRUE
"AKT1","estrogens",3,"BC",0,TRUE
"AKT1","Progesterone receptor",1,"BC",0,TRUE
"AKTIP","FRAP1",2,"BC",0,TRUE
"AKTIP","MTOR",2,"BC",0,TRUE
"Albumin","BEST1",1,"trait",0,TRUE
"Albumin","DMD",1,"trait",0,TRUE
"Albumin","estradiol",3,"BC",3,TRUE
"Aldosterone","PRRT2",1,"BC",0,TRUE
"Alkaline Phosphatase","Estrogen Receptor alpha",6,"BC",0,TRUE
"Alkaline Phosphatase","estrogens",2,"BC",0,TRUE
"Alkaline Phosphatase","Osteocalcin",6,"trait",2,TRUE
"Alkaline Phosphatase","PHB2",1,"trait",0,TRUE
"Alkaline Phosphatase","SIL1",1,"trait",0,TRUE
"Alkaline Phosphatase","TNFRSF11B",1,"trait",0,TRUE
"Alleles","IGF1",1,"trait",0,TRUE
"alteplase","ERBB2",1,"BC",0,TRUE
"alteplase","NEU1",1,"BC",0,TRUE
"alteplase","NEURL1",1,"BC",0,TRUE
"Amino-terminal pro-brain natriuretic peptide","dehydroepiandrosterone",1,"trait",0,TRUE
"Amino-terminal pro-brain natriuretic peptide","estradiol",1,"trait",0,TRUE
"Amino-terminal pro-brain natriuretic peptide","gonadorelin",1,"trait",0,TRUE
"Amino-terminal pro-brain natriuretic peptide","SHBG",1,"trait",0,TRUE
"Androgen Receptor","Aromatase",12,"BC",0,TRUE
"Androgen Receptor","Breast cancer",1,"BC",0,TRUE
"Androgen Receptor","Estrogen Receptor alpha",1,"shared",0,TRUE
"Androgen Receptor","Estrogen Receptors",9,"shared",9,TRUE
