"term1","term2","n","group"
"5'-AMP-activated protein kinase","FRAP1",2,"BC"
"5'-AMP-activated protein kinase","MTOR",2,"BC"
"Actins","AKT1",1,"BC"
"Actins","beta catenin",2,"BC"
"ADAM17","AKT1",1,"BC"
"ADAM17","EGFR",1,"BC"
"ADAM17","EPHB2",1,"BC"
"ADAM17","MAPK1",1,"BC"
"ADAM17","Soluble ErbB-1",1,"BC"
"ADAM17","TNF",2,"BC"
"ADAM17","VEGFA",1,"BC"
"Adiponectin","Cyclin D1",1,"BC"
"Adiponectin","Leptin",7,"BC"
"Adiponectin","STK11",2,"BC"
"arginine","Alkaline Phosphatase",1,"BC"
"ARHGEF5","NF-kappa B",1,"BC"
"ARNT","AHR",2,"BC"
"BCL2-Related Protein 11","AKT1",2,"BC"
"BCL2-Related Protein 11","BAX",3,"BC"
"BCL2-Related Protein 11","MYC",2,"BC"
"BCL2-Related Protein 11","Proto-Oncogene Proteins c-myc",2,"BC"
"BHLHE22","Integrins",1,"BC"
"BHLHE22","MAPK1",1,"BC"
"bone morphogenetic protein 7","Telomerase",2,"BC"
"CA2","Heat shock proteins",2,"BC"
"CA2","HSP90B2P",2,"BC"
"CD44","AKT1",2,"BC"
"CD44","beta catenin",2,"BC"
"CD44","EGFR",3,"BC"
"CD44","EPHB2",1,"BC"
"CD44","MAPK1",1,"BC"
"CD44","Matrix Metalloproteinase 2",1,"BC"
"CD44","Soluble ErbB-1",3,"BC"
"CDKN1B","Cyclin D1",4,"BC"
"CDKN1B","Phosphotransferases",2,"BC"
"CDKN1B","RB1",2,"BC"
"CDKN1B","Retinoblastoma Protein",2,"BC"
"chemokine","TRANCE protein",1,"BC"
"Clusterin","Integrins",1,"BC"
"COL11A2","AKT1",3,"BC"
"COL11A2","caspase-9",4,"BC"
"COL11A2","PARP1",2,"BC"
"CRK","1-Phosphatidylinositol 3-Kinase",2,"BC"
"CRK","Cyclin D1",2,"BC"
"CRK","FOXO3",1,"BC"
"CRK","Phosphotransferases",5,"BC"
"CRK","survivin",2,"BC"
"Cyclic AMP-Responsive DNA-Binding Protein","Cyclin D1",1,"BC"
"cyclin-dependent kinase inhibitor 1B","Cyclin D1",4,"BC"
"cyclin-dependent kinase inhibitor 1B","Phosphotransferases",2,"BC"
"cyclin-dependent kinase inhibitor 1B","RB1",2,"BC"
"cyclin-dependent kinase inhibitor 1B","Retinoblastoma Protein",2,"BC"
"cyclosporine","ABCG2",3,"BC"
"cyclosporine","CATHEPSIN D",1,"BC"
"Cytochromes c","BAX",6,"BC"
"Cytochromes c","caspase-9",16,"BC"
"Cytokeratin 8","alteplase",1,"BC"
"Dactinomycin","HSPB1",1,"BC"
"EEF1B2P2","Integrins",1,"BC"
"EEF1B2P2","MAPK1",1,"BC"
"Extracellular Signal Regulated Kinases","VEGFA",1,"BC"
"FGF","epidermal growth factor",3,"BC"
"FGF","FGFR",3,"BC"
"FGF2","CDKN1A",1,"BC"
"FGF2","HOXB7",1,"BC"
"FGF2","TFF1",1,"BC"
"Focal Adhesion Kinase 1","AKT1",2,"BC"
"Focal Adhesion Kinase 1","EGFR",1,"BC"
"Focal Adhesion Kinase 1","EPHB2",2,"BC"
"Focal Adhesion Kinase 1","MAPK1",2,"BC"
"Focal Adhesion Kinase 1","Matrix Metalloproteinase 9",2,"BC"
"Focal Adhesion Kinase 1","Protein Kinases",2,"BC"
"Focal Adhesion Kinase 1","Soluble ErbB-1",1,"BC"
"Forkhead Transcription Factors","ABCB1",2,"BC"
"FOXO1","AKT1",1,"BC"
"glycogen synthase kinase 3 beta","1-Phosphatidylinositol 3-Kinase",1,"BC"
"glycogen synthase kinase 3 beta","beta catenin",7,"BC"
"GNAQ","Gamma synuclein",2,"BC"
"Gonadal Steroid Hormones","Obesity",3,"BC"
"Gonadal Steroid Hormones","SHBG",2,"BC"
"Gonadal Steroid Hormones","Somatomedins",2,"BC"
"Gonadal Steroid Hormones","VEGFA",1,"BC"
"High Density Lipoproteins","VEGFA",1,"BC"
"Human Chorionic Gonadotropin","Alkaline Phosphatase",2,"BC"
"IGFBP3","caveolin 1",2,"BC"
"IGFBP3","dehydroepiandrosterone",1,"BC"
"IGFBP3","ERVK-10",1,"BC"
"IGFBP3","ERVK-18",1,"BC"
"IGFBP3","ERVK-19",1,"BC"
"IGFBP3","ERVK-21",1,"BC"
"IGFBP3","ERVK-24",1,"BC"
"IGFBP3","ERVK-25",1,"BC"
"IGFBP3","ERVK-7",1,"BC"
"IGFBP3","ERVK-8",1,"BC"
"IGFBP3","ERVK-9",1,"BC"
"IGFBP3","IGF1",17,"BC"
"IGFBP3","IGF2",3,"BC"
"IGFBP3","Phosphoproteins",2,"BC"
"IGFBP3","Somatomedins",9,"BC"
"IGFBP3","Transforming Growth Factor beta",1,"BC"
"IGFBP5","EREG",1,"BC"
"IGFBP5","ESR1",1,"BC"
"IL1b","IL6",2,"BC"
"Insulin Receptor","AKT1",2,"BC"
"Insulin Receptor","IGF1",2,"BC"
"Insulin Receptor","IGF2",7,"BC"
"Insulin Receptor","Insulin",1,"BC"
"Insulin Receptor","Somatomedins",2,"BC"
"Ir Genes","BRCA1",2,"BC"
"KL","IGF1",2,"BC"
"KLF6","CAMP",2,"BC"
"Matrix Metalloproteinases","cyclooxygenase 2",1,"BC"
"Matrix Metalloproteinases","Histone Deacetylase",1,"BC"
"Matrix Metalloproteinases","PTK2",2,"BC"
"Membrane Transport Proteins","ABCB1",2,"BC"
"Membrane Transport Proteins","ABCC1",2,"BC"
"Membrane Transport Proteins","ABCG2",14,"BC"
"Membrane Transport Proteins","Enzymes",5,"BC"
"Membrane Transport Proteins","estrone sulfate",3,"BC"
"Membrane Transport Proteins","Glucuronosyltransferase",3,"BC"
"Membrane Transport Proteins","PPIG",2,"BC"
"MMP14","collagen",5,"BC"
"MMP14","Matrix Metalloproteinase 2",13,"BC"
"MST1R","beta catenin",2,"BC"
"mullerian-inhibiting hormone","NF-kappa B",2,"BC"
"mullerian-inhibiting hormone","NFKB1",3,"BC"
"NOS2","cyclooxygenase 2",1,"BC"
"NOS2A","cyclooxygenase 2",1,"BC"
"NOS3","EGFR",1,"BC"
"P-Glycoprotein","ABCB1",5,"BC"
"P-Glycoprotein","ABCG2",53,"BC"
"P-Glycoprotein","caspase-9",1,"BC"
"P-Glycoprotein","EPHB2",3,"BC"
"P-Glycoprotein","glutathione",2,"BC"
"P-Glycoprotein","MAPK1",3,"BC"
"P-Glycoprotein","Multidrug Resistance Associated Protein 1",2,"BC"
"P-Glycoprotein","NF-kappa B",2,"BC"
"P-Glycoprotein","survivin",3,"BC"
"parathyroid hormone-related protein","VEGFA",2,"BC"
"PARK7","FRAP1",1,"BC"
"PARK7","HIF1alpha protein",1,"BC"
"PARK7","MTOR",1,"BC"
"PER2 protein, mammalian","NF-kappa B",1,"BC"
"Platelet-Derived Growth Factor","AKT1",2,"BC"
"Platelet-Derived Growth Factor","Transforming Growth Factor beta",2,"BC"
"PPP2R4","AKT1",2,"BC"
"PRRT2","AKT1",2,"BC"
"PTHLH","VEGFA",2,"BC"
"PTK2B","EGFR",2,"BC"
"PTK2B","ERBB3",1,"BC"
"PTK2B","Heregulin",1,"BC"
"PTK2B","Mitogen-Activated Protein Kinases",2,"BC"
"PTK2B","Soluble ErbB-1",2,"BC"
"PTPA","AKT1",2,"BC"
"RAC-Alpha Serine/Threonine Kinase","AKT1",6,"BC"
"RAC-Alpha Serine/Threonine Kinase","Phosphotransferases",2,"BC"
"RAF1","Mitogen-Activated Protein Kinases",4,"BC"
"RBL2","PTK2",2,"BC"
"Rho Guanine Nucleotide Exchange Factor 5","NF-kappa B",1,"BC"
"ROS1","MAPK1",3,"BC"
"SGK1","AKT1",1,"BC"
"SGK1","DCTN6",1,"BC"
"SGK1","IFI27",1,"BC"
"SGK1","NF-kappa B",1,"BC"
"SGK1","PSMD9",1,"BC"
"SGK1","SSSCA1",1,"BC"
"SGK1","TMED7",1,"BC"
"SMAD3","c-myc Genes",2,"BC"
"SMAD3","MYC",2,"BC"
"SMAD3","TERT",1,"BC"
"Somatostatin","Hormones",2,"BC"
"Somatostatin analog","Hormones",2,"BC"
"somatostatin receptor 2","Ribonucleases",2,"BC"
"Somatotropin-Releasing Hormone","epidermal growth factor",1,"BC"
"Somatotropin-Releasing Hormone","Soluble ErbB-1",1,"BC"
"SSTR2","Ribonucleases",2,"BC"
"STAT5B","HSP90AA1",1,"BC"
"Steroid 11-beta-Monooxygenase","hydrocortisone",1,"BC"
"threonine","Oncogene Proteins",1,"BC"
"thrombin","osteopontin",3,"BC"
"TNF","CDKN1A",1,"BC"
"TNF","H3F3AP6",1,"BC"
"TNF","NSG1",1,"BC"
"TNF","TCEAL1",1,"BC"
"TNFSF11","NF-kappa B",1,"BC"
"TXNIP","Thioredoxin",2,"BC"
"Vasoactive Intestinal Peptide","VEGFA",2,"BC"
"VEGFR2","VEGFA",1,"BC"
"Vimentin","AKT1",1,"BC"
"Vimentin","AXL",1,"BC"
"Vimentin","beta catenin",4,"BC"
"Vimentin","E-Cadherin",24,"BC"
"WNK1","NF-kappa B",7,"BC"
"WNK1","PTEN",1,"BC"
"1-Phosphatidylinositol 3-Kinase","Estrogen Receptor alpha",4,"BC"
"3 (or 17)-beta-hydroxysteroid dehydrogenase","estrogens",15,"BC"
"3 (or 17)-beta-hydroxysteroid dehydrogenase","Steroid hormone",2,"BC"
"ABCB1","TP53",2,"BC"
"ABCC1","ERBB2",1,"BC"
"ABCG2","estrogens",3,"BC"
"Activins","estrogens",2,"BC"
"Adaptor Signaling Protein","IGF1R",2,"BC"
"AHR","Aromatase",1,"BC"
"AHR","estradiol",2,"BC"
"AHR","Estrogen Receptor alpha",6,"BC"
"AHR","Estrogen Receptors",7,"BC"
"AKT1","ERBB2",22,"BC"
"AKT1","Estrogen Receptor alpha",14,"BC"
"AKT1","Estrogen Receptors",10,"BC"
"AKT1","estrogens",3,"BC"
"AKT1","Progesterone receptor",1,"BC"
"Albumin","estradiol",3,"BC"
"ALG1","melatonin",2,"BC"
"Alkaline Phosphatase","Estrogen Receptor alpha",6,"BC"
"Alkaline Phosphatase","estrogens",2,"BC"
"alteplase","ERBB2",1,"BC"
"alteplase","NEU1",1,"BC"
"alteplase","NEURL1",1,"BC"
"Androgens","Androgen Receptor",7,"BC"
"Androgens","estradiol",4,"BC"
"Androgens","Estrogen Receptors",1,"BC"
"Androgens","estrogens",142,"BC"
"Antibodies","ERBB2",47,"BC"
"Antibodies","Estrogen Receptor beta",2,"BC"
"Antibodies","Estrogen Receptors",6,"BC"
"Antibodies","NEU1",8,"BC"
"Antibodies","NEURL1",8,"BC"
"Antibodies, Anti-Idiotypic","ERBB2",6,"BC"
"Antibodies, Anti-Idiotypic","IGF1R",1,"BC"
"Aryl Hydrocarbon Receptor","Aromatase",1,"BC"
"Aryl Hydrocarbon Receptor","estradiol",2,"BC"
"Aryl Hydrocarbon Receptor","Estrogen Receptor alpha",5,"BC"
"Aryl Hydrocarbon Receptor","Estrogen Receptors",6,"BC"
"AXL","TP53",1,"BC"
"BAX","TP53",33,"BC"
"beta catenin","Estrogen Receptor alpha",2,"BC"
"BRCA1","Androgen Receptor",4,"BC"
"BRCA1","Aromatase",6,"BC"
"BRCA1","Estrogen Receptor alpha",19,"BC"
"BRCA1","Estrogen Receptors",11,"BC"
"BRCA1","estrogens",12,"BC"
"BRCA1","Ligase",2,"BC"
"BRCA1","progesterone",2,"BC"
"BRCA1","Progesterone receptor",9,"BC"
"BRCA1","TP53",35,"BC"
"c-myc Genes","estrogens",9,"BC"
"c-myc Genes","TP53",5,"BC"
"CAMP","estradiol",2,"BC"
"CAMP","Estrogen Receptor alpha",1,"BC"
"CAMP","Progesterone receptor",3,"BC"
"Casein Kinase II","Estrogen Receptors",2,"BC"
"caspase-9","estradiol",1,"BC"
"CATHEPSIN D","estrogens",2,"BC"
"caveolin 1","Estrogen Receptor alpha",2,"BC"
"caveolin 1","Estrogen Receptors",2,"BC"
"CDKN1A","Androgen Receptor",2,"BC"
"CDKN1A","estradiol",2,"BC"
"CDKN1A","Estrogen Receptor alpha",9,"BC"
"CDKN1A","Oncogenes",2,"BC"
"CDKN1A","TP53",37,"BC"
"collagen","Antibodies",2,"BC"
"collagen","Aromatase",1,"BC"
"CREBBP","Estrogen Receptors",2,"BC"
"Cyclic AMP-Dependent Protein Kinases","estradiol",2,"BC"
"Cyclic AMP-Dependent Protein Kinases","Estrogen Receptor alpha",5,"BC"
"Cyclin D1","ERBB2",3,"BC"
"Cyclin D1","Estrogen Receptor alpha",10,"BC"
"Cyclin D1","Estrogen Receptors",17,"BC"
"Cyclin D1","estrogens",16,"BC"
"Cyclin D1","Progesterone receptor",5,"BC"
"Cyclin D1","Progestins",1,"BC"
"Cyclin D1","TP53",10,"BC"
"cyclooxygenase 2","Aromatase",7,"BC"
"cyclooxygenase 2","TP53",2,"BC"
"CYP17A1","estrogens",2,"BC"
"cytokine","estrogens",9,"BC"
"DCTN6","ERBB2",4,"BC"
"dehydroepiandrosterone","estradiol",12,"BC"
"dehydroepiandrosterone","Estrogen Receptor alpha",3,"BC"
"dehydroepiandrosterone","estrogens",8,"BC"
"dehydroepiandrosterone","testosterone",3,"BC"
"E-Cadherin","IGF1R",1,"BC"
"E2F1","estrogens",2,"BC"
"EGFR","ERBB2",48,"BC"
"EGFR","Estrogen Receptor alpha",1,"BC"
"EGFR","Estrogen Receptors",18,"BC"
