exposure.id	exposure.trait	exposure.sample_size	exposure.sex	exposure.note	exposure.population	year	author	consortium	outcome.id	outcome.sample_size	N_case	outcome.year	outcome.nsnp	mr.pval	mr.b	mr.se	mr.nsnp	mr.method	mr.moescore
met-a-558	1-arachidonoylglycerophosphocholine*	7507.0	Males and Females	NA	European	2014	Shin	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.0595321911761707	0.0970449993983478	0.0515034573311929	3	FE IVW	1
met-a-558	1-arachidonoylglycerophosphocholine*	7507.0	Males and Females	NA	European	2014	Shin	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.618629223837264	-0.00928805162821298	0.0186584230786294	3	FE IVW	1
met-a-558	1-arachidonoylglycerophosphocholine*	7507.0	Males and Females	NA	European	2014	Shin	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	3.07141403830643e-7	0.48834086250679404	0.0953974946923542	3	FE IVW	1
met-a-427	2-hydroxyisobutyrate	6539.0	Males and Females	NA	European	2014	Shin	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	0.3741294694003449	0.0644294600640817	0.0724932584170171	2	FE IVW	1
met-a-427	2-hydroxyisobutyrate	6539.0	Males and Females	NA	European	2014	Shin	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.969982172471645	0.00921495949842838	0.24487911423908	2	FE IVW	1
met-a-427	2-hydroxyisobutyrate	6539.0	Males and Females	NA	European	2014	Shin	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	3.89059524454601e-5	0.165536987718726	0.0402386280363391	2	FE IVW	1
met-a-500	3-dehydrocarnitine*	7809.0	Males and Females	NA	European	2014	Shin	NA	ieu-a-1126	228951.0	122977	2017.0	10680257	1.55379684366604e-4	-0.734018926954917	0.19406630510547002	2	FE IVW	1
met-a-500	3-dehydrocarnitine*	7809.0	Males and Females	NA	European	2014	Shin	NA	ieu-a-1127	175475.0	69501	2017.0	10680257	0.005885373729479729	-0.7161830850216429	0.260042489190736	2	FE IVW	1
met-a-500	3-dehydrocarnitine*	7809.0	Males and Females	NA	European	2014	Shin	NA	ieu-a-1128	127442.0	21468	2017.0	10680257	0.7623518271821159	-0.09169237337189899	0.30322166706274395	2	FE IVW	1
ukb-b-14067	6mm asymmetry angle (left)	51739.0	Males and Females	5110: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1126	228951.0	122977	2017.0	10680257	4.07188123474932e-5	0.383915479770348	0.0935611855386816	3	FE IVW	1
ukb-b-14067	6mm asymmetry angle (left)	51739.0	Males and Females	5110: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1127	175475.0	69501	2017.0	10680257	9.0908093687858e-5	0.402985225003201	0.102968923138534	3	FE IVW	1
ukb-b-14067	6mm asymmetry angle (left)	51739.0	Males and Females	5110: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1128	127442.0	21468	2017.0	10680257	2.8725442125410804e-13	0.660619506394194	0.0904928450646807	3	FE IVW	1
ukb-b-16677	6mm cylindrical power (right)	84303.0	Males and Females	5117: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1126	228951.0	122977	2017.0	10680257	0.667889920868994	0.0503093273434518	0.117258650675574	3	FE IVW	1
ukb-b-16677	6mm cylindrical power (right)	84303.0	Males and Females	5117: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1127	175475.0	69501	2017.0	10680257	0.525613650602177	-0.0885779773399622	0.139555290983797	3	FE IVW	1
ukb-b-16677	6mm cylindrical power (right)	84303.0	Males and Females	5117: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1128	127442.0	21468	2017.0	10680257	1.1186880647152599e-20	0.40952246660095093	0.0439205866078999	3	FE IVW	1
ukb-b-1138	6mm strong meridian angle (right)	84303.0	Males and Females	5106: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1126	228951.0	122977	2017.0	10680257	0.00132827376024264	-0.43537544458266497	0.135639432367299	3	FE IVW	1
ukb-b-1138	6mm strong meridian angle (right)	84303.0	Males and Females	5106: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1127	175475.0	69501	2017.0	10680257	7.51512871418769e-4	-0.54875922788082	0.16283357293109801	3	FE IVW	1
ukb-b-1138	6mm strong meridian angle (right)	84303.0	Males and Females	5106: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1128	127442.0	21468	2017.0	10680257	0.3194361753020539	-0.23524499639693397	0.23628056729069102	3	FE IVW	1
ukb-b-1004	Added milk to espresso	64949.0	Males and Females	100320: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1126	228951.0	122977	2017.0	10680257	3.788631448249791e-12	0.8670586814337728	0.124849162178243	2	FE IVW	1
ukb-b-1004	Added milk to espresso	64949.0	Males and Females	100320: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1127	175475.0	69501	2017.0	10680257	1.53708499405984e-11	0.691434264206201	0.102520446077398	2	FE IVW	1
ukb-b-1004	Added milk to espresso	64949.0	Males and Females	100320: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1128	127442.0	21468	2017.0	10680257	0.00132179652751777	1.39365405451258	0.43399723772061793	3	FE IVW	1
ukb-b-17422	Age at menopause (last menstrual period)	143819.0	Males and Females	3581: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1126	228951.0	122977	2017.0	10680257	1.17498830038971e-8	0.18773452214899	0.0329167313473854	101	Weighted median	0.83
ukb-b-17422	Age at menopause (last menstrual period)	143819.0	Males and Females	3581: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1127	175475.0	69501	2017.0	10680257	1.4388215393419901e-8	0.284872358923993	0.0461432498326504	101	Weighted mode	0.76
ukb-b-17422	Age at menopause (last menstrual period)	143819.0	Males and Females	3581: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1128	127442.0	21468	2017.0	10680257	6.75809150617942e-4	0.19942526918411801	0.0586681303034428	101	Weighted median	0.78
ukb-b-18290	Age hayfever or allergic rhinitis diagnosed by doctor	25486.0	Males and Females	22146: Output from GWAS pipeline using Phesant derived variables from UKBiobank	European	2018	Ben Elsworth	MRC-IEU	ieu-a-1126	228951.0	122977	2017.0	10680257	8.595937845953409e-5	0.208665296752693	0.0531340656207307	3	FE IVW	1
