exposure.id	exposure	outcome	nsnp	effect_direction	used_instrument	exposure_cat	method	egger_intercept	egger_intercept_less_than_0.05	heterogeneity_Q_pval	heterogeneity_Q_pval_less_than_0.05	Fst	hazards	used_inst_code
ieu-a-974	Body mass index	BCAC'17	36	negative	NA	Antrophometric	Inverse variance weighted	0.0164047064469966	TRUE	3.119477071807017e-16	TRUE	66.36686575025207	H	*
ieu-a-835	Body mass index	BCAC'17	66	negative	NA	Antrophometric	Inverse variance weighted	0.0060993439172121	TRUE	9.655971925208346e-20	TRUE	67.65371993763944	H	*
ieu-a-1096	Childhood obesity	BCAC'17	4	negative	NA	Antrophometric	Inverse variance weighted	-0.04972552427745185	TRUE	0.00218892291523321	TRUE	44.00134729502689	H	*
ukb-b-4650	Comparative body size at age 10	BCAC'17	204	negative	NA	Antrophometric	Inverse variance weighted	0.00481252948883905	TRUE	1.346783130827004e-54	TRUE	77.83073651180398	H	*
ieu-a-85	Extreme body mass index	BCAC'17	7	negative	NA	Antrophometric	Inverse variance weighted	0.01312334665433615	TRUE	3.166777757799642e-4	TRUE	53.57550086757505	H	*
ieu-a-1034	Height	BCAC'17	4	overlaps null	NA	Antrophometric	Inverse variance weighted	0.2931863772569295	FALSE	3.639243879859722e-8	TRUE	37.49891398653065	HP	*
ieu-a-89	Height	BCAC'17	346	positive	NA	Antrophometric	Inverse variance weighted	-0.00241665353256705	TRUE	2.220084206362351e-67	TRUE	86.90408816518514	H	*
ieu-a-49	Hip circumference	BCAC'17	49	negative	NA	Antrophometric	Inverse variance weighted	0.01686853553607696	TRUE	7.33590180530842e-50	TRUE	56.07180215037555	H	*
ieu-a-99	Hip circumference	BCAC'17	3	negative	NA	Antrophometric	Inverse variance weighted	0.2217852623403007	FALSE	2.179650429854373e-6	TRUE	40.36456285099892	HP	*
ieu-a-101	Hip circumference	BCAC'17	5	overlaps null	NA	Antrophometric	Inverse variance weighted	-0.1077511111388816	FALSE	5.321866807426135e-8	TRUE	35.36050888908887	HP	*
ieu-a-55	Hip circumference	BCAC'17	67	positive	NA	Antrophometric	Inverse variance weighted	-0.0030582572535677	TRUE	1.696614033243795e-35	TRUE	58.57073045201012	H	*
ukb-b-19921	Impedance of whole body	BCAC'17	484	positive	NA	Antrophometric	Inverse variance weighted	-0.00370208999749092	TRUE	3.532038348882436e-211	TRUE	75.04420301116643	H	*
ieu-a-91	Obesity class 2	BCAC'17	10	negative	NA	Antrophometric	Inverse variance weighted	0.02333934794470408	TRUE	2.895266485547287e-6	TRUE	63.36806688163625	H	*
ieu-a-93	Overweight	BCAC'17	14	negative	NA	Antrophometric	Inverse variance weighted	0.02441911946070042	TRUE	1.392099255721925e-11	TRUE	61.85058082585157	H	*
ukb-a-195	Sitting height	BCAC'17	406	overlaps null	NA	Antrophometric	Inverse variance weighted	-2.409620443015984e-4	TRUE	1.384230014615064e-124	TRUE	99.55995896363888	H	*
ieu-a-69	Waist circumference	BCAC'17	20	overlaps null	NA	Antrophometric	Inverse variance weighted	0.02872819133151405	TRUE	9.770220451265666e-10	TRUE	53.9236292238469	H	*
ieu-a-75	Waist-to-hip ratio	BCAC'17	20	negative	NA	Antrophometric	Inverse variance weighted	0.0053610039732975	TRUE	1.103580612449123e-20	TRUE	54.80419522127672	H	*
ukb-b-12039	Weight	BCAC'17	444	negative	NA	Antrophometric	Inverse variance weighted	0.00428672199139003	TRUE	7.33137348147878e-86	TRUE	74.21150286156032	H	*
ieu-a-107	Weight	BCAC'17	10	negative	NA	Antrophometric	Inverse variance weighted	0.07711081587382616	FALSE	2.463395196736438e-27	TRUE	53.56167295850256	HP	*
ukb-b-14540	Whole body water mass	BCAC'17	505	overlaps null	NA	Antrophometric	Inverse variance weighted	0.00137981723776847	TRUE	1.709334467268617e-108	TRUE	91.09462965536964	H	*
ukb-b-2346	Duration of moderate activity	BCAC'17	6	overlaps null	NA	Physical activity	Inverse variance weighted	0.01314610001375576	TRUE	0.00572078358426741	TRUE	31.81627167357332	H	*
ukb-b-8865	Time spent doing light physical activity	BCAC'17	3	overlaps null	NA	Physical activity	Inverse variance weighted	-0.00516288267449864	TRUE	0.8222494150898638	FALSE	31.71548099669313		*
ukb-a-487	Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding  lawn mowing  carpentry  digging)	BCAC'17	3	negative	NA	Physical activity	Inverse variance weighted	0.01502147385099878	TRUE	0.2696339196478382	FALSE	39.63119445602797		*
ukb-a-483	Types of physical activity in last 4 weeks: None of the above	BCAC'17	7	overlaps null	NA	Physical activity	Inverse variance weighted	0.01363410196281747	TRUE	6.378128302942561e-9	TRUE	32.16090231670491	H	*
ukb-b-7663	Types of physical activity in last 4 weeks: Strenuous sports	BCAC'17	6	overlaps null	NA	Physical activity	Inverse variance weighted	0.02234080440765923	TRUE	0.02847608269409678	TRUE	38.25328166832433	H	*
ukb-b-16886	Types of transport used (excluding work): Car/motor vehicle	BCAC'17	5	overlaps null	NA	Physical activity	Inverse variance weighted	0.0522061255696797	FALSE	0.00141590006904484	TRUE	33.8842292644038	HP	*
ukb-b-1004	Added milk to espresso	BCAC'17	3	overlaps null	NA	Diet and supplements	Inverse variance weighted	-0.0923559077991458	FALSE	0.1808053018533326	FALSE	33.16808477137128	P	*
ukb-d-1468_5	Cereal type: Other (e.g. Cornflakes, Frosties)	BCAC'17	10	positive	NA	Diet and supplements	Inverse variance weighted	0.04773697213354615	TRUE	5.191344822200493e-19	TRUE	40.29065313473235	H	*
ukb-b-4955	Dairy smoothie intake	BCAC'17	3	overlaps null	NA	Diet and supplements	Inverse variance weighted	-0.01208611248135582	TRUE	0.7264572131635256	FALSE	36.57996659926752		*
ukb-b-16576	Dried fruit intake	BCAC'17	40	negative	NA	Diet and supplements	Inverse variance weighted	0.00106730884691193	TRUE	2.132457739653598e-8	TRUE	41.92758508620368	H	*
ukb-d-1538_2	Major dietary changes in the last 5 years: Yes, because of other reasons	BCAC'17	3	overlaps null	NA	Diet and supplements	Inverse variance weighted	-0.1307800298041251	FALSE	1.386802486863807e-10	TRUE	41.46340107427631	HP	*
ukb-d-1418_1	Milk type used: Full cream	BCAC'17	3	overlaps null	NA	Diet and supplements	Inverse variance weighted	0.01633624081043939	TRUE	2.588515876612568e-9	TRUE	38.18099202796796	H	*
ukb-d-1418_3	Milk type used: Skimmed	BCAC'17	3	negative	NA	Diet and supplements	Inverse variance weighted	0.07928771836816408	FALSE	2.270318286484054e-6	TRUE	47.73182550284761	HP	*
ukb-b-3599	Never eat eggs, dairy, wheat, sugar: Wheat products	BCAC'17	5	overlaps null	NA	Diet and supplements	Inverse variance weighted	0.03938644358373824	TRUE	0.0263096606506233	TRUE	268.428453916858	H	*
