exposure.id	exposure.trait	exposure.sample_size	exposure.sex	outcome.id	outcome.sample_size	N_case	mr.pval	mr.b	mr.se
ukb-a-320	Age at last live birth	123676.0	Males and Females	ukb-a-55	337159.0	7480	5.7191756360368e-06	-0.0130656464906421	0.00288010731301523
ieu-a-1004	Age at menopause	69360.0	Females	ukb-a-519	337199.0	5510	4.02674731044012e-06	0.00124629666613625	0.000228421974242762
ieu-a-1004	Age at menopause	69360.0	Females	ukb-a-55	337159.0	7480	8.67066550501408e-06	0.00120495097469804	0.000270902251630792
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1126	228951.0	122977	6.90924528411086e-11	0.0425421819308547	0.00652225949642208
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1127	175475.0	69501	7.69191897623922e-12	0.0684365711568185	0.00611890023255942
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1130	89677.0	46785	2.20195333188894e-09	0.0633928513403737	0.00763087646900787
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1133	69970.0	27078	1.63761629262192e-08	0.0736	0.00974572744270268
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1132	83691.0	38197	2.72469318505056e-54	0.382138568828175	0.0246294588585208
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ukb-a-55	337159.0	7480	8.10136264612995e-18	0.00880373554910673	0.00102391082046257
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1129	106776.0	61282	6.44404965359875e-46	0.300595463649104	0.0211320348261205
ukb-a-288	Arm fat-free mass (left)	331159.0	Males and Females	ieu-a-1137	22068.0	4480	5.71305318388811e-06	-0.639826183996326	0.138724054888836
ukb-a-27	Average weekly champagne plus white wine intake	240864.0	Males and Females	ieu-a-1131	32498.0	14910	1.90552072598845e-20	-2.01907823419477	0.217866445091552
ukb-a-27	Average weekly champagne plus white wine intake	240864.0	Males and Females	ieu-a-1126	228951.0	122977	3.9266661041497e-30	-0.59136359862957	0.0518491373040027
ukb-a-30	Average weekly fortified wine intake	241381.0	Males and Females	ieu-a-1137	22068.0	4480	2.97015779258354e-06	-2.40531834957469	0.514740818036743
ukb-a-30	Average weekly fortified wine intake	241381.0	Males and Females	ieu-a-1134	21814.0	4226	1.67659283487969e-34	3.48620459761459	0.284584351318966
ieu-a-29	Birth length	28459.0	Males and Females	ukb-a-55	337159.0	7480	3.8074609510138e-10	-0.00835262965897903	0.00133391867624251
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1126	228951.0	122977	9.78811784289222e-13	-0.788037146309407	0.110470631642082
ieu-a-785	Body mass index	152893.0	Males	ieu-a-1131	32498.0	14910	3.84805051394271e-06	-0.46817413806438	0.101349008618974
ieu-a-1015	C-reactive protein	10112.0	Males and Females	ieu-a-1134	21814.0	4226	5.20602298694658e-23	0.35280043976828	0.0357171901703885
ukb-a-60	Cancer code  self-reported: squamous cell carcinoma	337159.0	Males and Females	ieu-a-1137	22068.0	4480	3.52845315624925e-07	-60.8999617788916	11.9580906545196
ukb-a-60	Cancer code  self-reported: squamous cell carcinoma	337159.0	Males and Females	ukb-a-55	337159.0	7480	8.46099808596609e-09	-0.637311843494057	0.110663487022459
ukb-a-307	Cancer diagnosed by doctor	336272.0	Males and Females	ukb-a-519	337199.0	5510	7.68664067731784e-13	0.119282133254422	0.0166441037470964
ukb-a-307	Cancer diagnosed by doctor	336272.0	Males and Females	ieu-a-1137	22068.0	4480	3.92734086313898e-09	7.52856292720237	1.27879655260106
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1127	175475.0	69501	6.60998200864788e-08	-0.402564787382738	0.0705997744278241
ieu-a-1073	Copper	2603.0	Males and Females	ieu-a-1131	32498.0	14910	0.0	-0.0866186818986572	0.000518969261469289
ukb-a-520	Diagnoses - main ICD10: C61 Malignant neoplasm of prostate	337199.0	Males and Females	ieu-a-1126	228951.0	122977	6.37201198881091e-07	4.08339737138887	0.820027325718481
ukb-a-522	Diagnoses - main ICD10: D25 Leiomyoma of uterus	337199.0	Males and Females	ieu-a-1128	127442.0	21468	1.76262397696063e-08	-8.40325632757077	1.49157381246592
ukb-a-529	Diagnoses - main ICD10: H25 Senile cataract	337199.0	Males and Females	ieu-a-1130	89677.0	46785	2.23012033412206e-26	-1.48934279979411	0.140146153586799
ukb-a-531	Diagnoses - main ICD10: I10 Essential (primary) hypertension	337199.0	Males and Females	ieu-a-1127	175475.0	69501	4.93797276666824e-227	8.33949115615468	0.259247540383845
ukb-a-531	Diagnoses - main ICD10: I10 Essential (primary) hypertension	337199.0	Males and Females	ieu-a-1133	69970.0	27078	8.10206072959697e-18	11.8145109249317	1.37407801755742
ukb-a-532	Diagnoses - main ICD10: I20 Angina pectoris	337199.0	Males and Females	ieu-a-1137	22068.0	4480	0.0	-6.09170310652397	0.162086309278657
