exposure.id	exposure.trait	exposure.sample_size	exposure.sex	year	author	consortium	outcome.id	outcome.sample_size	N_case	mr.pval	mr.b	mr.se
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ukb-a-519	337199.0	5510	0.217114731448164	-0.00415118537650852	0.00336336257018997
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ukb-a-55	337159.0	7480	5.7191756360368e-06	-0.0130656464906421	0.00288010731301523
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ieu-a-1127	175475.0	69501	0.0140109104908502	-0.390523492871001	0.158944285155637
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ieu-a-1132	83691.0	38197	0.0100296016213713	-0.550637233817493	0.213855726019475
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ieu-a-1133	69970.0	27078	0.315986591692751	-0.248122141933357	0.247444281386054
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ieu-a-1128	127442.0	21468	0.030283195695538	-0.522115331854067	0.241009701854181
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ieu-a-1135	55149.0	9655	0.0115551823396384	-0.869204161186119	0.34417859639507
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ieu-a-1136	50225.0	7333	0.819942601700356	-0.0943836524490421	0.414656661068173
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ieu-a-1126	228951.0	122977	0.0108676588930137	-0.340016025155045	0.133500570340966
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ieu-a-1129	106776.0	61282	0.00751064524127979	-0.509227550941609	0.190485670485543
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ieu-a-1131	32498.0	14910	0.810324961917253	0.0490867169126304	0.204522166942461
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ieu-a-1137	22068.0	4480	0.52972239527385	-0.352073193938024	0.560242643413791
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ieu-a-1130	89677.0	46785	0.161150278565595	-0.253887698453278	0.18119131933505
ukb-a-320	Age at last live birth	123676.0	Males and Females	2017	Neale	Neale Lab	ieu-a-1134	21814.0	4226	0.839167004068896	0.123452444075014	0.60826268446697
ieu-a-1004	Age at menopause	69360.0	Females	2015	Day		ieu-a-1134	21814.0	4226	0.000400726299362755	0.0725918604651163	0.0183683866668681
