drug.label	diseases
POZIOTINIB	['upper aerodigestive tract neoplasm', 'non-small cell lung carcinoma (disease)', 'lung adenocarcinoma', 'enterobiasis']
DACTOLISIB	['transitional cell carcinoma', 'neoplasm (disease)', 'enterobiasis']
DOCETAXEL	['squamous cell carcinoma', 'non-small cell lung carcinoma (disease)', 'enterobiasis', 'drug-induced liver injury']
ENMD-2076	['soft tissue sarcoma', 'fibrosarcoma (disease)', 'enterobiasis', 'clear cell adenocarcinoma']
SAGOPILONE	['small cell lung carcinoma', 'enterobiasis', 'central nervous system neoplasm']
APITOLISIB	['renal cell carcinoma (disease)', 'enterobiasis']
FORETINIB	['renal cell carcinoma (disease)', 'neoplasm (disease)', 'head and neck neoplasm', 'enterobiasis', 'cancer']
SAMOTOLISIB	['pancreatic ductal adenocarcinoma', 'non-small cell lung carcinoma (disease)', 'enterobiasis']
PACLITAXEL	['non-small cell lung carcinoma (disease)', 'neoplasm (disease)', 'enterobiasis', 'breast carcinoma']
VINORELBINE	['non-small cell lung carcinoma (disease)', 'neoplasm (disease)', 'enterobiasis']
LUCITANIB	['non-small cell lung carcinoma (disease)', 'enterobiasis', 'cancer']
BMS-690514	['non-small cell lung carcinoma (disease)', 'enterobiasis']
PICTILISIB	['non-small cell lung carcinoma (disease)', 'enterobiasis']
VELIPARIB	['non-small cell lung carcinoma (disease)', 'enterobiasis']
CUDC-101	['neoplasm (disease)', 'head and neck cancer', 'enterobiasis', 'cancer']
TRASTUZUMAB EMTANSINE	['neoplasm (disease)', 'enterobiasis', 'breast carcinoma']
ERIBULIN	['neoplasm (disease)', 'enterobiasis', 'breast carcinoma']
VANTICTUMAB	['neoplasm (disease)', 'exocrine pancreatic carcinoma', 'enterobiasis']
KW-2450	['neoplasm (disease)', 'enterobiasis']
INDIBULIN	['neoplasm (disease)', 'enterobiasis', 'cancer']
BUPARLISIB	['head and neck cancer', 'enterobiasis']
ENMD-981693	['exocrine pancreatic carcinoma', 'enterobiasis']
CAPIVASERTIB	['enterobiasis']
ENTINOSTAT	['enterobiasis', 'breast adenocarcinoma']
GLEMBATUMUMAB VEDOTIN	['enterobiasis']
GLEMBATUMUMAB	['enterobiasis']
BMS-754807	['enterobiasis']
TRASTUZUMAB DERUXTECAN	['enterobiasis']
ETIRINOTECAN PEGOL	['enterobiasis']
GEDATOLISIB	['enterobiasis', 'endometrial cancer', 'acute myeloid leukemia']
PF-04691502	['enterobiasis', 'breast neoplasm']
BGT-226	['enterobiasis', 'cancer']
ICRUCUMAB	['enterobiasis']
MARIMASTAT	['enterobiasis']
TASELISIB	['enterobiasis']
RG-7666	['enterobiasis']
FLUOXYMESTERONE	['enterobiasis']
LONAPRISAN	['enterobiasis']
ABEMACICLIB	['enterobiasis', 'breast carcinoma']
BRE-3 90Y	['enterobiasis']
LABETUZUMAB	['enterobiasis']
EFAPROXIRAL	['enterobiasis']
GANCOTAMAB	['enterobiasis']
SERIBANTUMAB	['enterobiasis']
SAPITINIB	['enterobiasis']
LUMRETUZUMAB	['enterobiasis']
AMG-888	['enterobiasis']
DUSIGITUMAB	['enterobiasis']
MCS-110	['enterobiasis']
RALIMETINIB	['enterobiasis']
APRICOXIB	['enterobiasis']
ERTUMAXOMAB	['enterobiasis']
IROSUSTAT	['enterobiasis']
IMETELSTAT SODIUM	['enterobiasis']
SAR-566658	['enterobiasis']
PYROTINIB	['enterobiasis']
TAMOXIFEN	['enterobiasis']
BRILANESTRANT	['enterobiasis']
ESTROGENS, ESTERIFIED	['enterobiasis']
SR16234	['enterobiasis']
ACOLBIFENE	['enterobiasis']
CAL	['enterobiasis']
MARGETUXIMAB	['enterobiasis']
HEMAY-022	['enterobiasis']
T-DM1	['enterobiasis']
